epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.44076,1.40946,0.5,1,1.30139,0.000125,0.000125,0.000125
2,13.9144,1.29998,0.41667,1,1.21329,0.000253837,0.000253837,0.000253837
3,14.8998,1.27929,0.66667,1,1.19848,0.0003736,0.0003736,0.0003736
4,15.9055,1.2152,0.75,1,1.13259,0.000484288,0.000484288,0.000484288
5,16.8771,1.13384,0.83333,1,1.06208,0.0005859,0.0005859,0.0005859
6,17.8942,1.09018,0.83333,1,1.17518,0.000678438,0.000678438,0.000678438
7,18.8719,1.0019,0.83333,1,1.11673,0.0007619,0.0007619,0.0007619
8,19.8602,1.05119,0.83333,1,0.88496,0.000836287,0.000836287,0.000836287
9,20.8555,0.96698,0.83333,1,1.02163,0.0009016,0.0009016,0.0009016
10,21.8233,0.86527,0.83333,1,0.86568,0.00087875,0.00087875,0.00087875
11,22.8124,0.84964,0.83333,1,0.77832,0.0008375,0.0008375,0.0008375
12,23.8258,0.85454,0.83333,1,0.85712,0.00079625,0.00079625,0.00079625
13,24.784,0.82704,0.83333,1,0.78506,0.000755,0.000755,0.000755
14,25.782,0.76069,0.83333,1,0.69167,0.00071375,0.00071375,0.00071375
15,26.744,0.72564,0.83333,1,0.89057,0.0006725,0.0006725,0.0006725
16,27.7067,0.65819,0.75,1,0.80616,0.00063125,0.00063125,0.00063125
17,28.6722,0.60987,0.83333,1,0.68426,0.00059,0.00059,0.00059
18,29.6372,0.64029,0.75,1,0.64357,0.00054875,0.00054875,0.00054875
19,30.5919,0.49492,0.75,1,0.75939,0.0005075,0.0005075,0.0005075
20,31.5832,0.62092,0.83333,1,0.7324,0.00046625,0.00046625,0.00046625
21,37.486,0.59701,0.83333,1,0.78294,0.000425,0.000425,0.000425
22,38.5161,0.47556,0.83333,1,0.61057,0.00038375,0.00038375,0.00038375
23,39.4914,0.59296,0.83333,1,0.7723,0.0003425,0.0003425,0.0003425
24,40.4628,0.42108,0.75,1,0.55168,0.00030125,0.00030125,0.00030125
25,41.4242,0.3794,0.75,1,0.78687,0.00026,0.00026,0.00026
26,42.4061,0.52112,0.75,1,0.71725,0.00021875,0.00021875,0.00021875
27,43.373,0.71805,0.75,1,0.50648,0.0001775,0.0001775,0.0001775
28,44.3383,0.51838,0.75,1,0.54906,0.00013625,0.00013625,0.00013625
29,45.3371,0.46395,0.75,1,0.7818,9.5e-05,9.5e-05,9.5e-05
30,46.284,0.44083,0.83333,1,0.51632,5.375e-05,5.375e-05,5.375e-05
