epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.50867,1.38751,0.5,1,1.29707,0.000125,0.000125,0.000125
2,20.1021,1.34653,0.41667,1,1.2266,0.000253837,0.000253837,0.000253837
3,30.3157,1.26327,0.5,1,1.2151,0.0003736,0.0003736,0.0003736
4,40.7723,1.24241,0.75,1,1.12376,0.000484288,0.000484288,0.000484288
5,50.7525,1.14443,0.66667,1,1.07724,0.0005859,0.0005859,0.0005859
6,60.7585,1.10179,0.83333,1,1.18297,0.000678438,0.000678438,0.000678438
7,72.1616,1.0408,0.83333,1,1.10981,0.0007619,0.0007619,0.0007619
8,83.012,1.0088,0.83333,1,0.89595,0.000836287,0.000836287,0.000836287
9,92.9259,1.03742,0.83333,1,1.01683,0.0009016,0.0009016,0.0009016
10,102.958,0.89091,0.75,1,0.88883,0.00087875,0.00087875,0.00087875
11,113.174,0.89336,0.83333,1,0.78406,0.0008375,0.0008375,0.0008375
12,123.471,0.91409,0.83333,1,0.85598,0.00079625,0.00079625,0.00079625
13,133.014,0.7896,0.83333,1,0.76076,0.000755,0.000755,0.000755
14,142.028,0.79051,0.83333,1,0.67113,0.00071375,0.00071375,0.00071375
15,151.302,0.71396,0.83333,1,0.86059,0.0006725,0.0006725,0.0006725
16,161.822,0.67552,0.83333,1,0.74834,0.00063125,0.00063125,0.00063125
17,171.304,0.63267,0.83333,1,0.63745,0.00059,0.00059,0.00059
18,179.998,0.61827,0.83333,1,0.59533,0.00054875,0.00054875,0.00054875
19,188.295,0.44443,0.83333,1,0.68456,0.0005075,0.0005075,0.0005075
20,196.705,0.65788,0.83333,1,0.77743,0.00046625,0.00046625,0.00046625
21,205.323,0.67484,0.75,1,0.87075,0.000425,0.000425,0.000425
22,213.918,0.59116,0.75,1,0.66069,0.00038375,0.00038375,0.00038375
23,222.677,0.45291,0.66667,1,0.89064,0.0003425,0.0003425,0.0003425
24,231.511,0.57977,0.75,1,0.60081,0.00030125,0.00030125,0.00030125
25,239.808,0.37165,0.75,1,0.82082,0.00026,0.00026,0.00026
26,248.55,0.34476,0.75,1,0.89909,0.00021875,0.00021875,0.00021875
27,256.984,0.65428,0.58333,1,0.63727,0.0001775,0.0001775,0.0001775
28,265.196,0.63915,0.58333,1,0.66855,0.00013625,0.00013625,0.00013625
29,273.386,0.46564,0.75,1,0.88261,9.5e-05,9.5e-05,9.5e-05
30,281.81,0.49447,0.75,1,0.63009,5.375e-05,5.375e-05,5.375e-05
