epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,208.592,1.29421,0.66071,1,0.97546,0.00041472,0.00041472,0.00041472
2,418.711,1.06492,0.55357,1,1.05494,0.000803951,0.000803951,0.000803951
3,641.353,0.94586,0.625,1,0.90039,0.00116568,0.00116568,0.00116568
4,870.802,0.87491,0.57143,1,1.27656,0.00112625,0.00112625,0.00112625
5,1100.18,0.85952,0.57143,1,1.25542,0.001085,0.001085,0.001085
6,1326.92,0.78977,0.66071,1,1.06882,0.00104375,0.00104375,0.00104375
7,1552.85,0.74823,0.66071,1,1.05809,0.0010025,0.0010025,0.0010025
8,1779.65,0.70277,0.625,1,1.16584,0.00096125,0.00096125,0.00096125
9,2000.95,0.66823,0.625,1,1.05845,0.00092,0.00092,0.00092
10,2225.58,0.65872,0.66071,1,1.08461,0.00087875,0.00087875,0.00087875
11,2428.89,0.59344,0.60714,1,1.07728,0.0008375,0.0008375,0.0008375
12,2656.01,0.54451,0.60714,1,1.10689,0.00079625,0.00079625,0.00079625
13,2883.2,0.5609,0.69643,1,1.34069,0.000755,0.000755,0.000755
14,3113.01,0.5236,0.66071,1,1.23934,0.00071375,0.00071375,0.00071375
15,3344.11,0.53598,0.66071,1,1.19497,0.0006725,0.0006725,0.0006725
16,3505.64,0.45457,0.64286,1,1.27777,0.00063125,0.00063125,0.00063125
17,3642.91,0.45333,0.67857,1,1.31645,0.00059,0.00059,0.00059
18,3790.82,0.42404,0.625,1,1.68826,0.00054875,0.00054875,0.00054875
19,3935.01,0.41608,0.67857,1,1.46798,0.0005075,0.0005075,0.0005075
20,4070.56,0.3878,0.64286,1,1.64711,0.00046625,0.00046625,0.00046625
21,4202.83,0.39638,0.71429,1,1.39306,0.000425,0.000425,0.000425
